location,village,year,class,sex,individual_count,ShW,Sh,village_pop,ShW_2016,Sh_2016,site_area_m2,percent_mud,percent_nonemergent,percent_emergent,area_nonemergent_veg,area_mud,stem_count,veg_mass_mean,veg_mass_total,prevalence_Bulinus,Bulinus_density,infected_Bulinus_density,Bulinus_abundance,infected_Bulinus_abundance
lake,MerinaGewel,2017,2,F,12,18.4,0.7,761,49.375,0.833333333,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2017,2,M,10,21.8,0.6,761,97.25,0.9,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2017,3,F,8,11.5,0.625,761,41.1875,0.875,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2017,3,M,16,9.545454545,0.636363636,761,44.03125,1,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2017,4,F,10,2,0.444444444,761,2.75,0.7,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2017,4,M,12,14.09090909,0.545454545,761,18.16666667,0.833333333,2432.76211,76.19617555,6.136742643,20.1670019,44787.70494,556101.5064,3.888204026,133.0003308,323558.1653,0,0.053472716,0,130.086397,0
lake,MerinaGewel,2018,1,F,17,108.5588235,0.823529412,761,42.79411765,0.823529412,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,1,M,15,162.8,0.933333333,761,108.7,0.866666667,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,2,F,11,62.40909091,0.727272727,761,51.59090909,0.818181818,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,2,M,10,46,0.6,761,97.25,0.9,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,3,F,8,52.5625,0.875,761,41.1875,0.875,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,3,M,9,54.66666667,1,761,62.38888889,1,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,4,F,9,0.833333333,0.666666667,761,2.833333333,0.666666667,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,MerinaGewel,2018,4,M,8,11.3125,0.75,761,5.0625,0.75,2422.685244,74.65666533,6.616528374,17.75725354,48076.54894,542494.9383,2.178669146,41.53230753,96254.27868,0,0,0,0,0
lake,Syer,2017,1,F,22,267.525,1,866,152.5,1,6402.690115,49.94329625,31.00098417,18.89833951,595469.0847,959314.3476,2.78473558,435.2533743,2786792.477,0.133968633,9.020960008,0.387113551,57758.41147,2478.568109
lake,Syer,2017,1,M,16,139.6666667,0.916666667,866,47.90625,1,6402.690115,49.94329625,31.00098417,18.89833951,595469.0847,959314.3476,2.78473558,435.2533743,2786792.477,0.133968633,9.020960008,0.387113551,57758.41147,2478.568109
lake,Syer,2017,2,F,11,117.7777778,1,866,85.68181818,0.909090909,6402.690115,49.94329625,31.00098417,18.89833951,595469.0847,959314.3476,2.78473558,435.2533743,2786792.477,0.133968633,9.020960008,0.387113551,57758.41147,2478.568109
lake,Syer,2017,2,M,20,107.6111111,1,866,57.35,1,6402.690115,49.94329625,31.00098417,18.89833951,595469.0847,959314.3476,2.78473558,435.2533743,2786792.477,0.133968633,9.020960008,0.387113551,57758.41147,2478.568109
lake,Syer,2017,3,F,23,105.5434783,1,866,90.76086957,0.956521739,6402.690115,49.94329625,31.00098417,18.89833951,595469.0847,959314.3476,2.78473558,435.2533743,2786792.477,0.133968633,9.020960008,0.387113551,57758.41147,2478.568109
lake,Syer,2017,3,M,13,136.2083333,1,866,63.26923077,0.923076923,6402.690115,49.94329625,31.00098417,18.89833951,595469.0847,959314.3476,2.78473558,435.2533743,2786792.477,0.133968633,9.020960008,0.387113551,57758.41147,2478.568109
